
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        172 K
Registry                       224 Services                   0     65,408 K
smss.exe                       680 Services                   0      1,588 K
csrss.exe                      832 Services                   0      7,540 K
wininit.exe                   1148 Services                   0      8,796 K
csrss.exe                     1156 Console                    1      8,204 K
services.exe                  1232 Services                   0     12,424 K
winlogon.exe                  1260 Console                    1     14,164 K
lsass.exe                     1280 Services                   0     31,260 K
svchost.exe                   1444 Services                   0     40,864 K
fontdrvhost.exe               1472 Console                    1      7,160 K
fontdrvhost.exe               1480 Services                   0      4,984 K
svchost.exe                   1588 Services                   0     16,452 K
svchost.exe                   1632 Services                   0     13,872 K
svchost.exe                   1752 Services                   0     19,288 K
svchost.exe                   1760 Services                   0     10,536 K
svchost.exe                   1768 Services                   0     11,252 K
svchost.exe                   1772 Services                   0     17,892 K
svchost.exe                   1888 Services                   0     13,672 K
svchost.exe                   1896 Services                   0     15,024 K
svchost.exe                   1996 Services                   0     11,344 K
svchost.exe                   1384 Services                   0     11,660 K
svchost.exe                   1372 Services                   0     10,680 K
svchost.exe                   1668 Services                   0     13,496 K
svchost.exe                   2052 Services                   0      7,320 K
svchost.exe                   2140 Services                   0     22,200 K
svchost.exe                   2296 Services                   0     19,652 K
svchost.exe                   2408 Services                   0     10,012 K
dwm.exe                       2480 Console                    1     93,624 K
svchost.exe                   2632 Services                   0      9,752 K
svchost.exe                   2672 Services                   0     13,716 K
atiesrxx.exe                  2792 Services                   0      8,320 K
amdfendrsr.exe                2800 Services                   0      9,392 K
svchost.exe                   2816 Services                   0     22,316 K
svchost.exe                   2960 Services                   0     16,628 K
WUDFHost.exe                  3012 Services                   0     11,920 K
svchost.exe                   2284 Services                   0     18,844 K
svchost.exe                   2992 Services                   0     12,000 K
svchost.exe                   3148 Services                   0     10,108 K
svchost.exe                   3220 Services                   0      7,880 K
svchost.exe                   3304 Services                   0     19,608 K
svchost.exe                   3492 Services                   0     29,332 K
svchost.exe                   3568 Services                   0      9,008 K
atieclxx.exe                  3844 Console                    1     18,192 K
svchost.exe                   3852 Services                   0     17,860 K
svchost.exe                   3860 Services                   0     10,492 K
svchost.exe                   3868 Services                   0      7,492 K
Memory Compression            3956 Services                   0         12 K
svchost.exe                   4000 Services                   0     10,996 K
svchost.exe                   4028 Services                   0     11,204 K
svchost.exe                   4036 Services                   0      9,988 K
svchost.exe                   3400 Services                   0     56,208 K
svchost.exe                   3196 Services                   0      8,960 K
svchost.exe                   3548 Services                   0      8,656 K
svchost.exe                   3728 Services                   0     24,168 K
svchost.exe                   4100 Services                   0     25,288 K
svchost.exe                   4132 Services                   0     18,892 K
spoolsv.exe                   4192 Services                   0     20,788 K
svchost.exe                   4228 Services                   0     30,776 K
svchost.exe                   4308 Services                   0     10,136 K
wlanext.exe                   4520 Services                   0      7,344 K
svchost.exe                   4696 Services                   0     13,808 K
svchost.exe                   4708 Services                   0     14,604 K
svchost.exe                   4716 Services                   0     20,332 K
MSIAPService.exe              4732 Services                   0     34,976 K
RtkAudUService64.exe          4744 Services                   0     16,860 K
svchost.exe                   4752 Services                   0      7,188 K
vmnetdhcp.exe                 4760 Services                   0      6,764 K
svchost.exe                   4768 Services                   0     25,552 K
Sendevsvc.exe                 4776 Services                   0     20,912 K
MSIService.exe                4792 Services                   0     11,972 K
svchost.exe                   4804 Services                   0     62,928 K
svchost.exe                   4812 Services                   0     23,348 K
MpDefenderCoreService.exe     4824 Services                   0     21,168 K
vmnat.exe                     4840 Services                   0      8,484 K
svchost.exe                   4860 Services                   0     11,120 K
MsMpEng.exe                   4868 Services                   0    271,776 K
OfficeClickToRun.exe          4876 Services                   0     46,300 K
sqlwriter.exe                 4904 Services                   0     10,364 K
spacedeskService.exe          4956 Services                   0     11,128 K
MSI_Central_Service.exe       4968 Services                   0     16,264 K
Mystic_Light_Service.exe      5020 Services                   0     23,796 K
svchost.exe                   5028 Services                   0     11,668 K
vmware-usbarbitrator64.ex     5220 Services                   0     14,728 K
vmware-authd.exe              5232 Services                   0     13,928 K
